oldobjectid,objectid,filename,identifier,title,creator,date,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
HisThea0001,histhea0001,HisThea0001.jpg,HisThea0001,Taller Boricua Presents Their 10th Anniversary Dance Under the Stars,Taller Boricua,19uu-07-11,"Poster that announces the Taller Boricua's 10th anniversary Dance Under the Stars with Conjunto Libre and Son de la Loma at Taller Boricua and cocktails by ""Rums of Puerto RIco.""",Hispanic American theater; Advertising fliers; Dance parties,"New York, New York",40.79287,-73.95154,Hispanic Theater Collection. Arte Público Press/Recovering the US Hispanic Literary Heritage.,Text,image/jpeg,eng,Arte Público Press,,image,/objects/HisThea0001.jpg,objects/small/HisThea0001_sm.jpg,objects/thumbs/HisThea0001_th.jpg
HisThea0002,histhea0002,HisThea0002.jpg,HisThea0002,"The Hostos Center for the Arts & Culture and Peptián world premiere of Familias Merián Soto and Pepón Osorio's new collaboration, Familias ",The Hostos Center for the Arts & Culture,1995-12-10,"Poster resembling a Time Magazine cover that announces the Hostos Center for the Arts & Culture and Pepatián world premiere of ""Familias,"" a collaboration between Merián Soto and Pepión Osorio.",Hispanic American theater; Advertising fliers; Multimedia (Art),"The Bronx, New York",40.81763,-73.92773,Hispanic Theater Collection. Arte Público Press/Recovering the US Hispanic Literary Heritage.,StillImage,image/jpeg,eng,Arte Público Press,,image,/objects/HisThea0002.jpg,objects/small/HisThea0002_sm.jpg,objects/thumbs/HisThea0002_th.jpg
HisThea0003,histhea0003,HisThea0003.jpg,HisThea0003,El Teatro Campesino Celebrating the Next Twenty Five Years,"Montoya, Scott; El Teatro Campesino; Montoya & López Advertising",1990-11-16,"Full-color poster announicng El Teatro Campesino's celebration of the next twenty-five years in San José. Sponsors logos on the poster include Bank of America, Apple,  RJ Reynolds Tobacco Company and the Coca Cola company.",Hispanic American theater; Teatro Campesino (Organization); Posters,"San José, California",37.338207,-121.88633,Hispanic Theater Collection. Arte Público Press/Recovering the US Hispanic Literary Heritage.,Stillimage,image/jpeg,eng,Arte Público Press,,image,/objects/HisThea0003.jpg,objects/small/HisThea0003_sm.jpg,objects/thumbs/HisThea0003_th.jpg
HisThea0004,histhea0004,HisThea0004.jpg,HisThea0004,The Puerto Rican Traveling Co. Presents Jaime Carrero's Noo Jall (New York). ,The Puerto Rican Traveling Co.,1973,"Poster announcing The Puerto Rican Traveling Company's production of Jaime Carrero's ""Noo Jall"" in New yYork, directed by Pabio Cabrera and produced by Miriam Colón. The image is of two faces with skyscrapers in the background.",Hispanic American theater; Advertising fliers; Poster; Puerto Rican Traveling Theater (Organization),"New York, New York",40.7604371,-73.9877744,Hispanic Theater Collection. Arte Público Press/Recovering the US Hispanic Literary Heritage.,Stillimage,image/jpeg,eng,Arte Público Press,,image,/objects/HisThea0004.jpg,objects/small/HisThea0004_sm.jpg,objects/thumbs/HisThea0004_th.jpg
HisThea0005,histhea0005,HisThea0005.jpg,HisThea0005,Roosters a play by Milcha Sanchez-Scott presented by the Latino Chicago Theater Company,Latino Chicago Theater Company,1989-03-02,"Poster announcing the Latino Chicago Theater Company's production of the play ""Roosters"" by Milcha Sánchez-Scott at The Firehouse. The presentation was supported in part by grants from Illinois Art Council, MacArthur, and the National Endowment for the Arts. Major funding was provided by the Joyce Foundation.",Hispanic American theater; Latino Chicago Theater (Organization); Posters,"Chicago, Illinois",41.9111643,-87.677369,Hispanic Theater Collection. Arte Público Press/Recovering the US Hispanic Literary Heritage.,Stillimage,image/jpeg,eng,Arte Público Press,,image,/objects/HisThea0005.jpg,objects/small/HisThea0005_sm.jpg,objects/thumbs/HisThea0005_th.jpg
HisThea0006,histhea0006,HisThea0006_001.jpg,HisThea0006_001,"Teatro Reforma Instituto Mexicano del Seguro Social, Henry Donnadieu presenta Orinoco de Emilio Carballido",Teatro Reforma Instituto Mexicano del Seguro Social,,"Playbill for Teatro Reforma Instituto Mexicano del Seguro Social's production of Emilio Carballido's ""Orinoco."" Verso includes biographical information about the actors Gemma Cuervo, Rosa María Moreno, Julio Castillo and Emilio Carballido and the list of characters. ",Hispanic American theater; Playbills,[Unknown],48.34472222,-116.8483333,Hispanic Theater Collection. Arte Público Press/Recovering the US Hispanic Literary Heritage.,Stillimage,image/jpeg,eng,Arte Público Press,,image,/objects/HisThea0006_001.jpg,objects/small/HisThea0006_001_sm.jpg,objects/thumbs/HisThea0006_001_th.jpg
HisThea0006a,histhea0006a,HisThea0006_002.jpg,HisThea0006_002,"Teatro Reforma Instituto Mexicano del Seguro Social, Henry Donnadieu presenta Orinoco de Emilio Carballido",Teatro Reforma Instituto Mexicano del Seguro Social,,"Playbill for Teatro Reforma Instituto Mexicano del Seguro Social's production of Emilio Carballido's ""Orinoco."" Verso includes biographical information about the actors Gemma Cuervo, Rosa María Moreno, Julio Castillo and Emilio Carballido and the list of characters. ",Hispanic American theater; Playbills,[Unknown],48.34472222,-116.8483333,Hispanic Theater Collection. Arte Público Press/Recovering the US Hispanic Literary Heritage.,Stillimage,image/jpeg,eng,Arte Público Press,,image,/objects/HisThea0006_002.jpg,objects/small/HisThea0006_002_sm.jpg,objects/thumbs/HisThea0006_002_th.jpg
HisThea0007,histhea0007,HisThea0007.jpg,HisThea0007,All that Drama 2nd Annual South Bronx Theatre Festival,"Tats Cru, Inc.",1999-10-04,"Poster advertising the 2nd Annual South Bronx Theatre's Theatre Festival, including the premiere of ""Tiers"" by Reg.e.gaines, a performance by Sarah Jones, new work by Danny Hoch, and works by Pregones Theatre, A.B. Lugo, Caridad de la Luz, Mariposa, Tita, Michael Schwarts, N'Goma Hill, José Torres Toma, Liza Jessie Peterson, Nuyorican Rule, and Upstage (Point Youth Theatre Troupe). Funding for the event was provided by The Rockefeller Foundation.",Hispanic American theater; Posters; Drama festivals,"The Bronx, New York",40.8182262,-73.8905425,Hispanic Theater Collection. Arte Público Press/Recovering the US Hispanic Literary Heritage.,Stillimage,image/jpeg,eng,Arte Público Press,,image,/objects/HisThea0007.jpg,objects/small/HisThea0007_sm.jpg,objects/thumbs/HisThea0007_th.jpg
HisThea0008,histhea0008,HisThea0008.jpg,HisThea0008,"The Bronx Arts Ensemble and The Hostos Center for the Arts & Culture celebrate Puerto Rican Heritage Month with Los Jibaros, a fully staged opera criolla in two scenes","The Bronx Arts Ensemble and The Hostos Center for the Arts & Culture celebrate Puerto Rican Heritage Month with Los Jibaros, a fully staged opera criolla in two scenes",2000-11-10,"Poster adverstising the Bronx Arts Ensemble and The Hostos Center for the Arts & Culture celebration of Puerto Rican Heritage Month with the presentation of ""Los Jibaros,"" a fully staged opera composed by Manuel B. González. William Scribner is names at The Bronx Art Ensemble Orchestra's executive/artistic director; Jan Józef Wnek is named as the conductor; and Pablo Cabrera is named as the director. The opera starred Evangelina Cólon, Hilda Ramos, Edgardo Zayas, Valentín Fernández, Carlos Conde and the Hostos Community College Chorus.",Hispanic American theater; Posters; Opera; Jíbaro (Puerto Rican identity),"The Bronx, New York",40.8253967,-73.9234195,Hispanic Theater Collection. Arte Público Press/Recovering the US Hispanic Literary Heritage.,Stillimage,image/jpeg,eng,Arte Público Press,,image,/objects/HisThea0008.jpg,objects/small/HisThea0008_sm.jpg,objects/thumbs/HisThea0008_th.jpg
HisThea0009,histhea0009,HisThea0009.jpg,HisThea0009,El Teatro Bilingue de Houston presenta Los Soles Truncos por René Marques ,"Saenz, Alejandro",1978-01-13,"Color poster advertising El Teatro Bilingüe de Houston's presentation of René Marques' ""Los Soles Truncos.""  ",Hispanic American theater; Posters,"Houston, Texas",29.750002,-95.329313,Hispanic Theater Collection. Arte Público Press/Recovering the US Hispanic Literary Heritage.,Stillimage,image/jpeg,span,Arte Público Press,,image,/objects/HisThea0009.jpg,objects/small/HisThea0009_sm.jpg,objects/thumbs/HisThea0009_th.jpg
